file,purl,error
GSA@Challenge_gov_sbom.json,pkg:hex/ex_check@0.16.0,failed to get coordinates from purl: pkg:hex/ex_check@0.16.0
GSA@Challenge_gov_sbom.json,pkg:hex/excoveralls@0.18.5,failed to get coordinates from purl: pkg:hex/excoveralls@0.18.5
GSA@Challenge_gov_sbom.json,pkg:hex/expo@1.1.0,failed to get coordinates from purl: pkg:hex/expo@1.1.0
GSA@Challenge_gov_sbom.json,pkg:hex/export@0.1.1,failed to get coordinates from purl: pkg:hex/export@0.1.1
GSA@Challenge_gov_sbom.json,pkg:hex/file_system@1.1.0,failed to get coordinates from purl: pkg:hex/file_system@1.1.0
GSA@Challenge_gov_sbom.json,pkg:hex/gen_smtp@0.15.0,failed to get coordinates from purl: pkg:hex/gen_smtp@0.15.0
GSA@Challenge_gov_sbom.json,pkg:hex/gen_stage@1.2.1,failed to get coordinates from purl: pkg:hex/gen_stage@1.2.1
GSA@Challenge_gov_sbom.json,pkg:hex/gettext@0.26.2,failed to get coordinates from purl: pkg:hex/gettext@0.26.2
GSA@Challenge_gov_sbom.json,pkg:hex/hackney@1.20.1,failed to get coordinates from purl: pkg:hex/hackney@1.20.1
GSA@Challenge_gov_sbom.json,pkg:hex/hpax@1.0.2,failed to get coordinates from purl: pkg:hex/hpax@1.0.2
GSA@Challenge_gov_sbom.json,pkg:hex/html_sanitize_ex@1.4.3,failed to get coordinates from purl: pkg:hex/html_sanitize_ex@1.4.3
GSA@Challenge_gov_sbom.json,pkg:hex/httpoison@1.8.2,failed to get coordinates from purl: pkg:hex/httpoison@1.8.2
GSA@Challenge_gov_sbom.json,pkg:hex/idna@6.1.1,failed to get coordinates from purl: pkg:hex/idna@6.1.1
GSA@Challenge_gov_sbom.json,pkg:hex/inet_cidr@1.0.8,failed to get coordinates from purl: pkg:hex/inet_cidr@1.0.8
GSA@Challenge_gov_sbom.json,pkg:hex/jason@1.4.4,failed to get coordinates from purl: pkg:hex/jason@1.4.4
GSA@Challenge_gov_sbom.json,pkg:hex/joken@2.6.2,failed to get coordinates from purl: pkg:hex/joken@2.6.2
GSA@Challenge_gov_sbom.json,pkg:hex/jose@1.11.10,failed to get coordinates from purl: pkg:hex/jose@1.11.10
GSA@Challenge_gov_sbom.json,pkg:hex/logger_json@4.3.0,failed to get coordinates from purl: pkg:hex/logger_json@4.3.0
GSA@Challenge_gov_sbom.json,pkg:hex/metrics@1.0.1,failed to get coordinates from purl: pkg:hex/metrics@1.0.1
GSA@Challenge_gov_sbom.json,pkg:hex/mime@1.6.0,failed to get coordinates from purl: pkg:hex/mime@1.6.0
GSA@Challenge_gov_sbom.json,pkg:hex/mimerl@1.3.0,failed to get coordinates from purl: pkg:hex/mimerl@1.3.0
GSA@Challenge_gov_sbom.json,pkg:hex/mint@1.7.1,failed to get coordinates from purl: pkg:hex/mint@1.7.1
GSA@Challenge_gov_sbom.json,pkg:hex/mix_audit@0.1.4,failed to get coordinates from purl: pkg:hex/mix_audit@0.1.4
GSA@Challenge_gov_sbom.json,pkg:hex/mochiweb@3.2.2,failed to get coordinates from purl: pkg:hex/mochiweb@3.2.2
GSA@Challenge_gov_sbom.json,pkg:hex/money@1.8.0,failed to get coordinates from purl: pkg:hex/money@1.8.0
GSA@Challenge_gov_sbom.json,pkg:hex/nimble_csv@0.7.0,failed to get coordinates from purl: pkg:hex/nimble_csv@0.7.0
GSA@Challenge_gov_sbom.json,pkg:hex/oban@2.13.6,failed to get coordinates from purl: pkg:hex/oban@2.13.6
GSA@Challenge_gov_sbom.json,pkg:hex/parse_trans@3.4.1,failed to get coordinates from purl: pkg:hex/parse_trans@3.4.1
GSA@Challenge_gov_sbom.json,pkg:hex/phoenix@1.5.14,failed to get coordinates from purl: pkg:hex/phoenix@1.5.14
GSA@Challenge_gov_sbom.json,pkg:hex/phoenix_ecto@4.6.3,failed to get coordinates from purl: pkg:hex/phoenix_ecto@4.6.3
GSA@Challenge_gov_sbom.json,pkg:hex/phoenix_html@3.1.0,failed to get coordinates from purl: pkg:hex/phoenix_html@3.1.0
GSA@Challenge_gov_sbom.json,pkg:hex/phoenix_live_reload@1.5.3,failed to get coordinates from purl: pkg:hex/phoenix_live_reload@1.5.3
GSA@Challenge_gov_sbom.json,pkg:hex/phoenix_live_view@0.15.7,failed to get coordinates from purl: pkg:hex/phoenix_live_view@0.15.7
GSA@Challenge_gov_sbom.json,pkg:hex/phoenix_pubsub@2.1.3,failed to get coordinates from purl: pkg:hex/phoenix_pubsub@2.1.3
GSA@Challenge_gov_sbom.json,pkg:hex/plug@1.16.1,failed to get coordinates from purl: pkg:hex/plug@1.16.1
GSA@Challenge_gov_sbom.json,pkg:hex/plug_cowboy@2.7.2,failed to get coordinates from purl: pkg:hex/plug_cowboy@2.7.2
GSA@Challenge_gov_sbom.json,pkg:hex/plug_crypto@1.2.5,failed to get coordinates from purl: pkg:hex/plug_crypto@1.2.5
GSA@Challenge_gov_sbom.json,pkg:hex/poison@3.1.0,failed to get coordinates from purl: pkg:hex/poison@3.1.0
GSA@Challenge_gov_sbom.json,pkg:hex/porcelain@2.0.3,failed to get coordinates from purl: pkg:hex/porcelain@2.0.3
GSA@Challenge_gov_sbom.json,pkg:hex/postgrex@0.20.0,failed to get coordinates from purl: pkg:hex/postgrex@0.20.0
GSA@Challenge_gov_sbom.json,pkg:hex/quantum@3.5.3,failed to get coordinates from purl: pkg:hex/quantum@3.5.3
GSA@Challenge_gov_sbom.json,pkg:hex/ranch@2.2.0,failed to get coordinates from purl: pkg:hex/ranch@2.2.0
GSA@Challenge_gov_sbom.json,pkg:hex/remote_ip@0.2.1,failed to get coordinates from purl: pkg:hex/remote_ip@0.2.1
GSA@Challenge_gov_sbom.json,pkg:hex/sobelow@0.13.0,failed to get coordinates from purl: pkg:hex/sobelow@0.13.0
GSA@Challenge_gov_sbom.json,pkg:hex/ssl_verify_fun@1.1.7,failed to get coordinates from purl: pkg:hex/ssl_verify_fun@1.1.7
GSA@Challenge_gov_sbom.json,pkg:hex/stein@0.5.4,failed to get coordinates from purl: pkg:hex/stein@0.5.4
GSA@Challenge_gov_sbom.json,pkg:hex/stein_storage@0.1.0,failed to get coordinates from purl: pkg:hex/stein_storage@0.1.0
GSA@Challenge_gov_sbom.json,pkg:hex/sweet_xml@0.6.6,failed to get coordinates from purl: pkg:hex/sweet_xml@0.6.6
GSA@Challenge_gov_sbom.json,pkg:hex/telemetry@0.4.3,failed to get coordinates from purl: pkg:hex/telemetry@0.4.3
GSA@Challenge_gov_sbom.json,pkg:hex/telemetry_registry@0.2.1,failed to get coordinates from purl: pkg:hex/telemetry_registry@0.2.1
GSA@Challenge_gov_sbom.json,pkg:hex/tesla@1.12.3,failed to get coordinates from purl: pkg:hex/tesla@1.12.3
GSA@Challenge_gov_sbom.json,pkg:hex/text_delta@1.1.0,failed to get coordinates from purl: pkg:hex/text_delta@1.1.0
GSA@Challenge_gov_sbom.json,pkg:hex/timex@3.7.11,failed to get coordinates from purl: pkg:hex/timex@3.7.11
GSA@Challenge_gov_sbom.json,pkg:hex/tzdata@1.1.2,failed to get coordinates from purl: pkg:hex/tzdata@1.1.2
GSA@Challenge_gov_sbom.json,pkg:hex/unicode_util_compat@0.7.0,failed to get coordinates from purl: pkg:hex/unicode_util_compat@0.7.0
GSA@Challenge_gov_sbom.json,pkg:hex/waffle@1.1.9,failed to get coordinates from purl: pkg:hex/waffle@1.1.9
GSA@Challenge_gov_sbom.json,pkg:hex/waffle_ecto@0.0.12,failed to get coordinates from purl: pkg:hex/waffle_ecto@0.0.12
GSA@Challenge_gov_sbom.json,pkg:hex/wallaby@0.29.1,failed to get coordinates from purl: pkg:hex/wallaby@0.29.1
GSA@Challenge_gov_sbom.json,pkg:hex/web_driver_client@0.2.0,failed to get coordinates from purl: pkg:hex/web_driver_client@0.2.0
GSA@Challenge_gov_sbom.json,pkg:hex/xml_builder@2.1.4,failed to get coordinates from purl: pkg:hex/xml_builder@2.1.4
GSA@Challenge_gov_sbom.json,pkg:hex/yamerl@0.10.0,failed to get coordinates from purl: pkg:hex/yamerl@0.10.0
GSA@Challenge_gov_sbom.json,pkg:hex/yaml_elixir@2.4.0,failed to get coordinates from purl: pkg:hex/yaml_elixir@2.4.0
GSA@CoE-MPT-process_sbom.json,,no components
GSA@CoE-MPT-template_sbom.json,,no components
GSA@CoE-MPT_sbom.json,,no components
GSA@Controlled-Document-Tracker_sbom.json,,no components
GSA@CorpIT-CC_Migration_Sandbox_sbom.json,,no components
GSA@CorpIT-CloudSandbox_sbom.json,,no components
GSA@CorpIT-ScreeningTool_sbom.json,,no components
GSA@Credit_Card_Logging_Bo_sbom.json,,no components
GSA@Crowdsource-Testing-ABMC.gov_sbom.json,,no components
GSA@Crowdsource-Testing-CIO.gov_sbom.json,,no components
GSA@Crowdsource-Testing-Central-Artifact-Repository_sbom.json,,no components
GSA@Crowdsource-Testing-Connect.gov_3-2015_sbom.json,,no components
GSA@Crowdsource-Testing-DFAS.mil_sbom.json,,no components
GSA@Crowdsource-Testing-DHS.gov_9_2016_sbom.json,,no components
GSA@Crowdsource-Testing-FTC-IdentityTheft.gov_11-2015_sbom.json,,no components
GSA@Crowdsource-Testing-Federal-Crowdsourcing-and-Citizen-Science-Toolkit_8-2015_sbom.json,,no components
GSA@Crowdsource-Testing-HHS-ACF.gov_sbom.json,,no components
GSA@Crowdsource-Testing-HHS-MAIN_sbom.json,,no components
GSA@Crowdsource-Testing-NIH-HCI-1-2015_sbom.json,,no components
GSA@Crowdsource-Testing-NOAA-CrowdMa_sbom.json,,no components
GSA@Crowdsource-Testing-NOAA-CrowdMag--iOS_sbom.json,,no components
GSA@Crowdsource-Testing-SBA.gov_7-2015_sbom.json,,no components
GSA@Crowdsource-Testing-TSA.GOV_9-2015_sbom.json,,no components
GSA@Crowdsource-Testing-USCIS.gov_2_2016_sbom.json,,no components
GSA@Crowdsource-Testing-USDA_FSIS_sbom.json,,no components
GSA@DBMW-Inventory-Repo_sbom.json,,no components
GSA@DBMW-Tower-Inventory_sbom.json,,no components
GSA@DOTGOVDASH-archived_sbom.json,pkg:generic/node@8.12.0,failed to get coordinates from purl: pkg:generic/node@8.12.0
GSA@DSSAPIDocumentation_sbom.json,,no components
GSA@DataBeam_sbom.json,,no components
GSA@DevSecOps-Mgmt-Tools-Deploy_sbom.json,,no components
GSA@DevSecOps_sbom.json,,no components
GSA@Developer-Feedback-for-Government-APIs_sbom.json,,no components
GSA@Digital-Council_sbom.json,,no components
GSA@Digital-Innovation-Division_sbom.json,,no components
GSA@DigitalCXAnalyzer_sbom.json,,no components
GSA@EDX-chrome-extension_sbom.json,,no components
GSA@EDX-github-action_sbom.json,,no components
GSA@FAS-Chargebacks-Data-Capture-Tool_sbom.json,,no components
GSA@FBO-SplashPage_sbom.json,,no components
GSA@FM-CCS_sbom.json,,no components
GSA@FM-Credit-and-Finance_sbom.json,,no components
GSA@FM-FMITwebdesign_sbom.json,,no components
GSA@FM-FedPay-Prototype_sbom.json,,no components
GSA@FPKI_AR_Submissions_sbom.json,,no components
GSA@FedCMS-Slider_sbom.json,,no components
GSA@FederalHierarchy-Crosswalk_sbom.json,,no components
GSA@GEAR-Center-RFI-Responses_sbom.json,,no components
GSA@GEAR-Documentation_sbom.json,,no components
GSA@GSA-2015-Fall_sbom.json,,no components
GSA@GSA-APIs_sbom.json,,no components
GSA@GSA-Acquisition-AFARS_sbom.json,,no components
GSA@GSA-Acquisition-AGAR_sbom.json,,no components
GSA@GSA-Acquisition-AIDAR_sbom.json,,no components
GSA@GSA-Acquisition-CAR_sbom.json,,no components
GSA@GSA-Acquisition-CASBAR_sbom.json,,no components
GSA@GSA-Acquisition-DAFFARS_sbom.json,,no components
GSA@GSA-Acquisition-DARS_sbom.json,,no components
GSA@GSA-Acquisition-DEAR_sbom.json,,no components
GSA@GSA-Acquisition-DFARS_sbom.json,,no components
GSA@GSA-Acquisition-DIAR_sbom.json,,no components
GSA@GSA-Acquisition-DLAD_sbom.json,,no components
GSA@GSA-Acquisition-DOLAR_sbom.json,,no components
GSA@GSA-Acquisition-DOSAR_sbom.json,,no components
GSA@GSA-Acquisition-DTAR_sbom.json,,no components
